HomeTeam,AwayTeam,FTHome,FTAway,HTHome,HTAway,Week
Leicester City,Tottenham Hotspur,2,1,2,0,14
Watford,Manchester United,2,4,0,3,14
West Bromwich Albion,Newcastle United,2,2,1,0,14
Arsenal,Huddersfield Town,5,0,1,0,14
AFC Bournemouth,Burnley,1,2,0,1,14
Chelsea,Swansea City,1,0,0,0,14
Everton,West Ham United,4,0,2,0,14
Manchester City,Southampton,2,1,0,0,14
Stoke City,Liverpool,0,3,0,1,14
Chelsea,Newcastle United,3,1,2,1,15
Brighton & Hove Albion,Liverpool,1,5,0,2,15
Everton,Huddersfield Town,2,0,0,0,15
Leicester City,Burnley,1,0,1,0,15
Stoke City,Swansea City,2,1,2,1,15
Watford,Tottenham Hotspur,1,1,1,1,15
West Bromwich Albion,Crystal Palace,0,0,0,0,15
Arsenal,Manchester United,1,3,0,2,15
AFC Bournemouth,Southampton,1,1,1,0,15
Manchester City,West Ham United,2,1,0,1,15
West Ham United,Chelsea,1,0,1,0,16
Burnley,Watford,1,0,1,0,16
Crystal Palace,AFC Bournemouth,2,2,2,2,16
Huddersfield Town,Brighton & Hove Albion,2,0,2,0,16
Swansea City,West Bromwich Albion,1,0,0,0,16
Tottenham Hotspur,Stoke City,5,1,1,0,16
Newcastle United,Leicester City,2,3,1,1,16
Southampton,Arsenal,1,1,1,0,16
Liverpool,Everton,1,1,1,0,16
Manchester United,Manchester City,1,2,1,1,16
Burnley,Stoke City,1,0,0,0,17
Crystal Palace,Watford,2,1,0,1,17
Huddersfield Town,Chelsea,1,3,0,2,17
Newcastle United,Everton,0,1,0,1,17
Southampton,Leicester City,1,4,0,3,17
Swansea City,Manchester City,0,4,0,2,17
Liverpool,West Bromwich Albion,0,0,0,0,17
Manchester United,AFC Bournemouth,1,0,1,0,17
Tottenham Hotspur,Brighton & Hove Albion,2,0,1,0,17
West Ham United,Arsenal,0,0,0,0,17
Leicester City,Crystal Palace,0,3,0,2,18
Arsenal,Newcastle United,1,0,1,0,18
Brighton & Hove Albion,Burnley,0,0,0,0,18
Chelsea,Southampton,1,0,1,0,18
Watford,Huddersfield Town,1,4,0,2,18
Stoke City,West Ham United,0,3,0,1,18
Manchester City,Tottenham Hotspur,4,1,1,0,18
West Bromwich Albion,Manchester United,1,2,0,2,18
AFC Bournemouth,Liverpool,0,4,0,3,18
Everton,Swansea City,3,1,1,1,18
Arsenal,Liverpool,3,3,0,1,19
Everton,Chelsea,0,0,0,0,19
Brighton & Hove Albion,Watford,1,0,0,0,19
Manchester City,AFC Bournemouth,4,0,1,0,19
Southampton,Huddersfield Town,1,1,1,0,19
Stoke City,West Bromwich Albion,3,1,2,0,19
Swansea City,Crystal Palace,1,1,0,0,19
West Ham United,Newcastle United,2,3,1,1,19
Burnley,Tottenham Hotspur,0,3,0,1,19
Leicester City,Manchester United,2,2,1,1,19
Tottenham Hotspur,Southampton,5,2,2,0,20
AFC Bournemouth,West Ham United,3,3,1,1,20
Chelsea,Brighton & Hove Albion,2,0,0,0,20
Huddersfield Town,Stoke City,1,1,1,0,20
Manchester United,Burnley,2,2,0,2,20
Watford,Leicester City,2,1,1,1,20
West Bromwich Albion,Everton,0,0,0,0,20
Liverpool,Swansea City,5,0,1,0,20
Newcastle United,Manchester City,0,1,0,1,20
Crystal Palace,Arsenal,2,3,0,1,20
AFC Bournemouth,Everton,2,1,1,0,21
Chelsea,Stoke City,5,0,3,0,21
Huddersfield Town,Burnley,0,0,0,0,21
Liverpool,Leicester City,2,1,0,1,21
Newcastle United,Brighton & Hove Albion,0,0,0,0,21
Watford,Swansea City,1,2,1,0,21
Manchester United,Southampton,0,0,0,0,21
West Bromwich Albion,Arsenal,1,1,0,0,21
Crystal Palace,Manchester City,0,0,0,0,21
Brighton & Hove Albion,AFC Bournemouth,2,2,1,1,21
Burnley,Liverpool,1,2,0,0,22
Leicester City,Huddersfield Town,3,0,0,0,22
Stoke City,Newcastle United,0,1,0,0,22
Everton,Manchester United,0,2,0,0,22
Southampton,Crystal Palace,1,2,1,0,22
Swansea City,Tottenham Hotspur,0,2,0,1,22
West Ham United,West Bromwich Albion,2,1,0,1,22
Manchester City,Watford,3,1,2,0,22
Arsenal,Chelsea,2,2,0,0,22
Tottenham Hotspur,West Ham United,1,1,0,0,22
Chelsea,Leicester City,0,0,0,0,23
Crystal Palace,Burnley,1,0,1,0,23
Huddersfield Town,West Ham United,1,4,1,1,23
Newcastle United,Swansea City,1,1,0,0,23
Watford,Southampton,2,2,0,2,23
West Bromwich Albion,Brighton & Hove Albion,2,0,1,0,23
Tottenham Hotspur,Everton,4,0,1,0,23
AFC Bournemouth,Arsenal,2,1,0,0,23
Liverpool,Manchester City,4,3,1,1,23
Manchester United,Stoke City,3,0,2,0,23
Brighton & Hove Albion,Chelsea,0,4,0,2,24
Arsenal,Crystal Palace,4,1,4,0,24
Burnley,Manchester United,0,1,0,0,24
Everton,West Bromwich Albion,1,1,0,1,24
Leicester City,Watford,2,0,1,0,24
Stoke City,Huddersfield Town,2,0,0,0,24
West Ham United,AFC Bournemouth,1,1,0,0,24
Manchester City,Newcastle United,3,1,1,0,24
Southampton,Tottenham Hotspur,1,1,1,1,24
Swansea City,Liverpool,1,0,1,0,24
Chelsea,AFC Bournemouth,0,3,0,0,25
Everton,Leicester City,2,1,2,0,25
Newcastle United,Burnley,1,1,0,0,25
Southampton,Brighton & Hove Albion,1,1,0,1,25
Manchester City,West Bromwich Albion,3,0,1,0,25
Stoke City,Watford,0,0,0,0,25
Tottenham Hotspur,Manchester United,2,0,2,0,25
Swansea City,Arsenal,3,1,1,1,25
West Ham United,Crystal Palace,1,1,1,1,25
Huddersfield Town,Liverpool,0,3,0,2,25
Arsenal,Everton,5,1,4,0,26
West Bromwich Albion,Southampton,2,3,1,2,26
Manchester United,Huddersfield Town,2,0,0,0,26
Leicester City,Swansea City,1,1,1,0,26
Brighton & Hove Albion,West Ham United,3,1,1,1,26
AFC Bournemouth,Stoke City,2,1,0,1,26
Burnley,Manchester City,1,1,0,1,26
Liverpool,Tottenham Hotspur,2,2,1,0,26
Crystal Palace,Newcastle United,1,1,0,1,26
Watford,Chelsea,4,1,1,0,26
Tottenham Hotspur,Arsenal,1,0,0,0,27
Everton,Crystal Palace,3,1,0,0,27
Stoke City,Brighton & Hove Albion,1,1,0,1,27
Swansea City,Burnley,1,0,0,0,27
West Ham United,Watford,2,0,1,0,27
Manchester City,Leicester City,5,1,1,1,27
Southampton,Liverpool,0,2,0,2,27
Newcastle United,Manchester United,1,0,0,0,27
Huddersfield Town,AFC Bournemouth,4,1,2,1,27
Chelsea,West Bromwich Albion,3,0,1,0,27
Leicester City,Stoke City,1,1,0,1,28
AFC Bournemouth,Newcastle United,2,2,0,2,28
Brighton & Hove Albion,Swansea City,4,1,1,0,28
Burnley,Southampton,1,1,0,0,28
Liverpool,West Ham United,4,1,1,0,28
West Bromwich Albion,Huddersfield Town,1,2,0,0,28
Watford,Everton,1,0,0,0,28
Crystal Palace,Tottenham Hotspur,0,1,0,0,28
Manchester United,Chelsea,2,1,1,1,28
